Drug,Target
Rosiglitazone,PPARD
Rosiglitazone,RXRA
Rosiglitazone,RXRB
Rosiglitazone,RXRG
Pramipexole,DRD2
Pramipexole,DRD4
Pramipexole,ADRA2B
Pramipexole,HTR1A
Pramipexole,ADRA2A
Pramipexole,HTR1B
Pramipexole,HTR2A
Pramipexole,ADRA2C
Pramipexole,DRD1
Pramipexole,DRD5
Acetohexamide,KCNJ1
Ampicillin,TEK
Secobarbital,GABRA1
Secobarbital,GABRA2
Secobarbital,GABRA4
Secobarbital,GABRA5
Secobarbital,CHRNA4
Secobarbital,CHRNA7
Secobarbital,GRIA2
Secobarbital,GRIN1
Secobarbital,GRIN2A
Secobarbital,GRIN2B
Secobarbital,GRIN2C
Secobarbital,GRIN2D
Secobarbital,GRIN3A
Secobarbital,GRIN3B
Promazine,DRD2
Promazine,HTR2A
Promazine,DRD1
Promazine,DRD4
Promazine,CHRM3
Promazine,CHRM1
Promazine,ADRA1B
Promazine,ADRA1A
Promazine,HRH1
Promazine,ADRA1D
Spironolactone,NR3C2
Spironolactone,PGR
Spironolactone,CACNG1
Spironolactone,CACNA2D1
Spironolactone,CACNA2D2
Spironolactone,CACNA2D3
Spironolactone,CACNA1C
Spironolactone,CACNA1D
Spironolactone,CACNB1
Spironolactone,CACNB2
Spironolactone,CACNB3
Spironolactone,CACNB4
Spironolactone,CACNA1B
Spironolactone,CACNA1A
Spironolactone,CACNA1G
Spironolactone,CACNA1H
Methylphenidate,SLC6A3
Hyoscyamine,CHRM1
Hyoscyamine,CHRM3
Zolpidem,GABRA1
Zolpidem,GABRA2
Zolpidem,GABRB3
Triprolidine,HRH1
Carboprost Tromethamine,PTGER1
Lindane,GABRB1
Lindane,GABRB3
Lindane,PGR
Lindane,ESR1
Prochlorperazine,DRD2
Cyproheptadine,HRH1
Cyproheptadine,HTR2A
Cyproheptadine,CHRM1
Cyproheptadine,CHRM3
Cyproheptadine,HTR7
Bendroflumethiazide,KCNMA1
Cerivastatin,HMGCR
Lansoprazole,MAPT
Dipivefrin,ADRA1A
Dipivefrin,ADRA2A
Dipivefrin,ADRB2
Droperidol,DRD2
Droperidol,ADRA1A
Levothyroxine,THRA
Levothyroxine,THRB
Framycetin,CXCR4
Pethidine,OPRK1
Pethidine,GRIN1
Pethidine,GRIN2B
Pethidine,GRIN2A
Pethidine,GRIN2C
Pethidine,GRIN2D
Pethidine,CHRM1
Pethidine,CHRM3
Pethidine,SLC6A3
Loratadine,HRH1
Prazosin,ADRA1A
Prazosin,ADRA1B
Prazosin,ADRA1D
Prazosin,ADRA2A
Prazosin,ADRA2B
Imipramine,HTR2A
Imipramine,HRH1
Imipramine,ADRA1A
Imipramine,ADRA1D
Imipramine,CHRM1
Imipramine,CHRM3
Imipramine,ADRA1B
Imipramine,HTR7
Imipramine,DRD1
Imipramine,DRD5
Imipramine,DRD2
Imipramine,SLC6A3
Imipramine,HTR1A
Imipramine,HTR6
Acitretin,RXRA
Acitretin,RARA
Acitretin,RARB
Acitretin,RXRB
Acitretin,RXRG
Nabumetone,PTGS2
Nabumetone,PTGS1
Methylscopolamine bromide,CHRM1
Methylscopolamine bromide,CHRM3
Metharbital,GABRA1
Metharbital,GABRA2
Metharbital,GABRA4
Metharbital,GABRA5
Metharbital,CHRNA4
Metharbital,CHRNA7
Metharbital,GRIA2
Metharbital,GABRA1
Metharbital,GABRA2
Metharbital,GABRA4
Metharbital,GABRA5
Metharbital,GABRB1
Metharbital,GABRB2
Metharbital,GABRB3
Metharbital,GABRD
Metharbital,GABRG3
Metharbital,GABRP
Sodium Tetradecyl Sulfate,PROC
Ketorolac,PTGS2
Ketorolac,PTGS1
Picrotoxin,GABRA1
Quinine,GP9
Tenoxicam,PTGS2
Tenoxicam,PTGS1
Dronabinol,CNR1
Fluoxetine,CKS1B
Fluoxetine,CHRNA3
Hexylcaine,SCN5A
Methohexital,GABRA1
Chlordiazepoxide,GABRA1
Chlordiazepoxide,GABRA2
Chlordiazepoxide,GABRA4
Chlordiazepoxide,GABRA5
Chlordiazepoxide,GABRB1
Chlordiazepoxide,GABRB2
Chlordiazepoxide,GABRB3
Chlordiazepoxide,GABRD
Chlordiazepoxide,GABRG3
Chlordiazepoxide,GABRP
Duloxetine,SLC6A3
Chlorpromazine,DRD2
Chlorpromazine,DRD1
Chlorpromazine,HTR1A
Chlorpromazine,HTR2A
Chlorpromazine,ADRA1A
Chlorpromazine,ADRA1B
Chlorpromazine,HRH1
Chlorpromazine,DRD1
Chlorpromazine,DRD5
Chlorpromazine,DRD4
Chlorpromazine,DRD5
Chlorpromazine,HTR2A
Chlorpromazine,ADRA1A
Chlorpromazine,ADRA1B
Chlorpromazine,ADRA1D
Chlorpromazine,ADRA2A
Chlorpromazine,ADRA2B
Chlorpromazine,ADRA2C
Chlorpromazine,CHRM1
Chlorpromazine,CHRM3
Chlorpromazine,CALM1
Chlorpromazine,CALM2
Chlorpromazine,CALM3
Chlorpromazine,HTR6
Chlorpromazine,HTR7
Lenalidomide,CDH5
Lenalidomide,PTGS2
Raloxifene,ESR1
Raloxifene,ESR2
Raloxifene,TFF1
Celecoxib,PTGS2
Celecoxib,PDPK1
Gallamine Triethiodide,CHRM1
Brimonidine,ADRA2A
Brimonidine,ADRA2B
Brimonidine,ADRA2C
Nabilone,CNR1
Sotalol,ADRB1
Sotalol,ADRB2
Buspirone,HTR1A
Buspirone,DRD2
Zidovudine,TERT
Darifenacin,CHRM3
Darifenacin,CHRM1
Oxycodone,OPRK1
Oxycodone,OPRD1
Flutamide,AHR
Tolmetin,PTGS2
Tolmetin,PTGS1
Cimetidine,HRH2
Haloperidol,DRD2
Haloperidol,DRD1
Haloperidol,GRIN2B
Haloperidol,HTR2A
Tridihexethyl,CHRM3
Tridihexethyl,CHRM1
Triflupromazine,DRD1
Triflupromazine,DRD2
Triflupromazine,CHRM1
Dextrothyroxine,THRA
Dextrothyroxine,THRB
Acetyldigitoxin,ATP1A1
Aminocaproic Acid,PLAT
Dextromethorphan,GRIN3A
Dextromethorphan,CHRNA3
Dextromethorphan,CHRNA4
Dextromethorphan,CHRNB2
Dextromethorphan,CHRNA7
Dextromethorphan,OPRD1
Dextromethorphan,OPRK1
Dextromethorphan,CYBA
Dextromethorphan,RAC1
Cisplatin,TF
Anisotropine Methylbromide,CHRM1
Anisotropine Methylbromide,CHRM3
Albendazole,TUBA1A
Albendazole,TUBB4B
Carteolol,ADRB2
Carteolol,ADRB1
Alitretinoin,RARA
Alitretinoin,RXRA
Alitretinoin,RARB
Alitretinoin,RXRB
Alitretinoin,RXRG
Alitretinoin,IGFBP3
Cinchocaine,SCN5A
Cinchocaine,CALM1
Cinchocaine,CALM2
Cinchocaine,CALM3
Lercanidipine,CACNG1
Erlotinib,EGFR
Mephenytoin,SCN5A
Rofecoxib,PTGS2
Guanidine,DLG4
Toremifene,ESR1
Nortriptyline,HTR2A
Nortriptyline,HTR1A
Nortriptyline,HRH1
Nortriptyline,ADRA1A
Nortriptyline,ADRA1D
Nortriptyline,CHRM1
Nortriptyline,CHRM3
Nortriptyline,HTR6
Nortriptyline,ADRA1B
Nortriptyline,ADRA2A
Nortriptyline,ADRA2B
Nortriptyline,ADRA2C
Nortriptyline,ADRB1
Nortriptyline,ADRB2
Nortriptyline,DRD2
Vincristine,TUBB
Vincristine,TUBA4A
Amoxapine,DRD2
Amoxapine,DRD1
Amoxapine,ADRA2A
Amoxapine,ADRA1A
Amoxapine,CHRM1
Amoxapine,GABRA1
Amoxapine,HTR2A
Amoxapine,HTR6
Amoxapine,HTR7
Amoxapine,DRD4
Amoxapine,HRH1
Amoxapine,ADRA1A
Amoxapine,ADRA1B
Amoxapine,ADRA1D
Amoxapine,CHRM1
Amoxapine,CHRM3
Amoxapine,HTR1A
Amoxapine,HTR1B
Amoxapine,ADRA2A
Amoxapine,ADRA2B
Amoxapine,ADRA2C
Amoxapine,GABRA1
Amoxapine,GABRA2
Amoxapine,GABRA4
Amoxapine,GABRA5
Amoxapine,GABRB1
Amoxapine,GABRB2
Amoxapine,GABRB3
Amoxapine,GABRD
Amoxapine,GABRG3
Amoxapine,GABRP
Amoxapine,SLC6A3
Adinazolam,GABRA1
Adinazolam,GABRA2
Adinazolam,GABRA5
Adinazolam,GABRG3
Adinazolam,GABRB1
Adinazolam,GABRB2
Adinazolam,GABRB3
Adinazolam,GABRD
Adinazolam,GABRP
Piroxicam,PTGS2
Piroxicam,PTGS1
Lamotrigine,CACNA1E
Lamotrigine,ADORA2A
Lamotrigine,ADRA1A
Lamotrigine,ADRA2A
Lamotrigine,ADRB1
Lamotrigine,DRD1
Lamotrigine,DRD5
Lamotrigine,DRD2
Lamotrigine,GABRA1
Lamotrigine,GABRA2
Lamotrigine,GABRA4
Lamotrigine,GABRA5
Lamotrigine,GABRB1
Lamotrigine,GABRB2
Lamotrigine,GABRB3
Lamotrigine,GABRD
Lamotrigine,GABRG3
Lamotrigine,GABRP
Lamotrigine,GABRA1
Lamotrigine,GABRA2
Lamotrigine,GABRA4
Lamotrigine,GABRA5
Lamotrigine,GABRG3
Lamotrigine,HRH1
Lamotrigine,OPRK1
Lamotrigine,CHRM1
Lamotrigine,CHRM3
Lamotrigine,HTR2A
Hydroxyzine,HRH1
Bosentan,EDNRB
Doxapram,KCNK3
Doxapram,KCNK9
Carbamazepine,SCN5A
Carbamazepine,CHRNA4
Carbamazepine,CHRNB2
Cinnarizine,HRH1
Cinnarizine,CACNA1C
Cinnarizine,CACNA1D
Cinnarizine,CACNA1G
Cinnarizine,CACNA1H
Cinnarizine,DRD2
Cinnarizine,DRD1
Cinnarizine,DRD5
Cinnarizine,CHRM1
Cinnarizine,CHRM3
Fondaparinux,F10
Vinblastine,TUBA1A
Vinblastine,TUBB
Vinblastine,JUN
Propranolol,ADRB1
Propranolol,ADRB2
Propranolol,HTR1A
Propranolol,HTR1B
Atropine,CHRM1
Atropine,CHRM3
Atropine,CHRNA4
Atropine,CHRNB2
Fenoprofen,PTGS2
Fenoprofen,PTGS1
Fenoprofen,PPARA
Fenoprofen,PPARG
Fenfluramine,HTR2A
Clonidine,ADRA2A
Clonidine,ADRA2B
Clonidine,ADRA2C
Clonidine,ADRA1A
Clonidine,ADRA1B
Clonidine,ADRA1D
Mazindol,SLC6A3
Valdecoxib,PTGS2
L-Carnitine,SLC22A4
L-Carnitine,SLC22A5
L-Carnitine,CPT2
L-Carnitine,CPT1A
Nizatidine,HRH2
Diclofenac,PTGS2
Diclofenac,PTGS1
Fluticasone propionate,PGR
Fluticasone propionate,NR3C2
Lisuride,DRD2
Lisuride,DRD4
Lisuride,DRD1
Lisuride,DRD5
Lisuride,HTR1A
Lisuride,HTR2A
Lisuride,HTR1B
Lisuride,ADRA2A
Lisuride,ADRA2B
Lisuride,ADRA2C
Lisuride,HTR7
Doxazosin,ADRA1A
Doxazosin,ADRA1B
Doxazosin,ADRA1D
Piperazine,GABRB3
Ethosuximide,CACNA1G
Amiloride,SCNN1A
Amiloride,SCNN1B
Amiloride,SCNN1G
Amiloride,PLAU
Labetalol,ADRB1
Labetalol,ADRB2
Labetalol,ADRA1A
Labetalol,ADRA1B
Labetalol,ADRA1D
Thiopental,GABRA1
Thiopental,GABRA2
Thiopental,GABRA4
Thiopental,GABRA5
Thiopental,CHRNA4
Thiopental,CHRNA7
Thiopental,GRIA2
Thiopental,CHRM3
Ivermectin,GABRB3
Medroxyprogesterone acetate,PGR
Medroxyprogesterone acetate,ESR1
Cisapride,HTR2A
Sulindac,PTGS2
Sulindac,PTGS1
Sulindac,MAPK3
Sulindac,PPARD
Cyclothiazide,FXYD2
Cyclothiazide,SFRP4
Chloroquine,TNF
Chloroquine,TLR9
Metaraminol,ADRA1A
Butorphanol,OPRK1
Butorphanol,OPRD1
Bisoprolol,ADRB1
Bisoprolol,ADRB2
Rifabutin,HSP90AA1
Rifabutin,HSP90B1
Imatinib,KIT
Imatinib,NTRK1
Imatinib,CSF1R
Imatinib,PDGFRA
Imatinib,ABL1
Nicardipine,CACNA1C
Nicardipine,CACNB2
Nicardipine,CACNA1D
Nicardipine,CACNA2D1
Nicardipine,PDE1B
Nicardipine,ADRA1A
Nicardipine,ADRA1B
Nicardipine,ADRA1D
Nicardipine,CHRM1
Nicardipine,CHRM3
Nicardipine,CALM1
Nicardipine,CALM2
Nicardipine,CALM3
Fluphenazine,DRD2
Fluphenazine,DRD1
Fluphenazine,CALM1
Fluphenazine,CALM2
Fluphenazine,CALM3
Fluphenazine,HTR2A
Testosterone,ESR1
Testosterone,NR3C2
Clorazepate,GABRA1
Clorazepate,GABRA2
Clorazepate,GABRA4
Clorazepate,GABRA5
Clorazepate,GABRB1
Clorazepate,GABRB2
Clorazepate,GABRB3
Clorazepate,GABRD
Clorazepate,GABRG3
Clorazepate,GABRP
Clorazepate,TSPO
Guanabenz,ADRA2A
Guanabenz,ADRA2B
Alendronic acid,FDPS
Alendronic acid,ATP6V1A
Dexmedetomidine,ADRA2A
Clofibrate,PPARA
Astemizole,HRH1
Astemizole,MAPT
Adenosine,ADORA2A
Adenosine,ADORA2B
Simvastatin,HMGCR
Simvastatin,ITGB2
Mebendazole,TUBA1A
Mebendazole,TUBB4B
Dextropropoxyphene,OPRD1
Dextropropoxyphene,OPRK1
Mitotane,ESR1
Mitotane,PGR
Dyphylline,PDE4B
Dyphylline,PDE4A
Dyphylline,PDE4C
Dyphylline,PDE4D
Dyphylline,ADORA2A
Pentazocine,OPRK1
Magnesium sulfate,CACNG1
Magnesium sulfate,CACNA2D1
Magnesium sulfate,CACNA1C
Magnesium sulfate,CACNB1
Magnesium sulfate,CACNB2
Estrone,ESR1
Estrone,ESR2
Trazodone,HTR2A
Trazodone,HTR1A
Trazodone,HRH1
Trazodone,ADRA1A
Trazodone,ADRA2A
Mecamylamine,CHRNA7
Mecamylamine,CHRNA4
Mecamylamine,CHRNB2
Acamprosate,GABRA1
Acamprosate,GABRA2
Acamprosate,GABRA4
Acamprosate,GABRA5
Acamprosate,GABRB1
Acamprosate,GABRB2
Acamprosate,GABRB3
Acamprosate,GABRD
Acamprosate,GABRG3
Acamprosate,GABRP
Acamprosate,GRIN1
Acamprosate,GRIN2A
Acamprosate,GRIN2B
Acamprosate,GRIN2C
Acamprosate,GRIN2D
Acamprosate,GRIN3A
Acamprosate,GRIN3B
Verapamil,CACNA1C
Verapamil,CACNA1D
Verapamil,CACNB1
Verapamil,CACNB2
Verapamil,CACNB3
Verapamil,CACNB4
Verapamil,CACNA1G
Verapamil,CACNA1B
Verapamil,CACNA1A
Verapamil,SCN5A
Verapamil,KCNJ11
Verapamil,ADRA1A
Verapamil,ADRA1B
Verapamil,ADRA1D
Epinephrine,ADRA1A
Epinephrine,ADRA1B
Epinephrine,ADRB1
Epinephrine,ADRB2
Epinephrine,ADRA2A
Epinephrine,ADRA2B
Epinephrine,ADRA1D
Epinephrine,ADRA2C
Epinephrine,TNF
Epinephrine,SOD1
Sumatriptan,HTR1B
Sumatriptan,HTR1F
Sumatriptan,HTR1A
Pirenzepine,CHRM1
Chlorpropamide,ABCC8
Aprepitant,TACR1
Galantamine,CHRNA3
Galantamine,CHRNA4
Galantamine,CHRNA7
Galantamine,CHRNB2
Tamoxifen,ESR1
Tamoxifen,ESR2
Tamoxifen,PRKCA
Tamoxifen,PRKCB
Tamoxifen,PRKCD
Tamoxifen,PRKCE
Tamoxifen,PRKCG
Tamoxifen,PRKCI
Tamoxifen,PRKCQ
Tamoxifen,PRKCZ
Isoflurophate,TF
Losartan,AGTR1
Thioridazine,DRD2
Thioridazine,DRD1
Thioridazine,ADRA1A
Thioridazine,ADRA1B
Thioridazine,HTR2A
Moricizine,SCN5A
Midazolam,GABRA1
Midazolam,GABRA2
Midazolam,GABRA4
Midazolam,GABRA5
Midazolam,GABRB1
Midazolam,GABRB3
Midazolam,GABRB2
Midazolam,GABRG3
Midazolam,GABRD
Midazolam,GABRP
Pentosan Polysulfate,FGF2
Pentosan Polysulfate,FGF1
Pentosan Polysulfate,FGF4
Fludrocortisone,NR3C2
Flurazepam,GABRA1
Flurazepam,GABRA2
Flurazepam,GABRA4
Flurazepam,GABRA5
Flurazepam,GABRB1
Flurazepam,GABRB2
Flurazepam,GABRB3
Flurazepam,GABRG3
Flurazepam,GABRD
Flurazepam,GABRP
Phentolamine,ADRA2A
Phentolamine,ADRA1A
Phentolamine,ADRA1B
Phentolamine,ADRA1D
Ergotamine,HTR1B
Ergotamine,HTR2A
Ergotamine,DRD2
Ergotamine,ADRA1A
Ergotamine,ADRA1B
Ergotamine,ADRA1D
Ergotamine,ADRA2A
Ergotamine,ADRA2B
Ergotamine,DRD1
Ergotamine,DRD5
Ergotamine,HTR1A
Ergotamine,HTR1F
Tizanidine,ADRA2A
Tizanidine,ADRA2B
Tizanidine,ADRA2C
Nicergoline,ADRA1A
Eplerenone,NR3C2
Naltrexone,OPRD1
Naltrexone,OPRK1
Tamsulosin,ADRA1A
Tamsulosin,ADRA1D
Tamsulosin,ADRA1B
Porfimer sodium,LDLR
Sufentanil,OPRD1
Sufentanil,OPRK1
Ibandronate,FDPS
Diethylcarbamazine,PTGS1
Flurbiprofen,PTGS1
Flurbiprofen,PTGS2
Apomorphine,DRD4
Apomorphine,DRD2
Apomorphine,ADRA2C
Apomorphine,ADRA2B
Apomorphine,DRD5
Apomorphine,HTR1A
Apomorphine,HTR2A
Apomorphine,ADRA2A
Apomorphine,DRD1
Apomorphine,HTR1B
Apomorphine,CALY
Paroxetine,HTR2A
Paroxetine,CHRM1
Paroxetine,CHRM3
Nedocromil,HSP90AA1
Norethisterone,PGR
Azatadine,HRH1
Clodronic Acid,SLC25A4
Procaine,GRIN3A
Procaine,SLC6A3
Procaine,KCNMA1
Procaine,KCNMB3
Procaine,KCNMB4
Procaine,KCNN1
Procaine,KCNN2
Procaine,KCNN3
Methoxamine,ADRA1A
Methoxamine,ADRA1B
Methoxamine,ADRA1D
Homatropine Methylbromide,CHRM1
Homatropine Methylbromide,CHRM3
Trimipramine,SLC6A3
Trimipramine,HTR2A
Trimipramine,HTR1A
Trimipramine,ADRA1A
Trimipramine,ADRA1B
Trimipramine,DRD2
Trimipramine,ADRA2B
Trimipramine,HRH1
Trimipramine,ADRA2A
Trimipramine,DRD1
Trimipramine,DRD5
Trimipramine,ADRB1
Trimipramine,ADRB2
Trimipramine,CHRM1
Trimipramine,CHRM3
Nitroglycerin,NPR1
Diphemanil Methylsulfate,CHRM3
Nateglinide,ABCC8
Nateglinide,PPARG
Risperidone,HTR2A
Risperidone,DRD2
Risperidone,DRD4
Risperidone,ADRA1A
Risperidone,ADRA1B
Risperidone,HRH1
Risperidone,ADRA2A
Risperidone,ADRA2B
Risperidone,ADRA2C
Risperidone,HTR1A
Risperidone,DRD1
Risperidone,HTR7
Meclizine,HRH1
Riluzole,SCN5A
Modafinil,SLC6A3
Modafinil,ADRA1B
Deferoxamine,APP
Scopolamine,CHRM1
Scopolamine,CHRM3
Scopolamine,CHRNA4
Scopolamine,CHRNB2
Carbinoxamine,HRH1
Etodolac,PTGS2
Etodolac,PTGS1
Etodolac,RXRA
Prilocaine,SCN5A
Epinastine,HRH1
Epinastine,HRH2
Epinastine,ADRA1A
Epinastine,ADRA2A
Epinastine,HTR2A
Epinastine,HTR7
Isoflurane,GABRA1
Isoflurane,GRIA1
Isoflurane,CALM1
Isoflurane,CALM2
Isoflurane,CALM3
Isoflurane,GABRA1
Isoflurane,GABRA2
Isoflurane,GABRA4
Isoflurane,GABRA5
Isoflurane,GABRB1
Isoflurane,GABRB2
Isoflurane,GABRB3
Isoflurane,GABRD
Isoflurane,GABRG3
Isoflurane,GABRP
Isoflurane,CHRNA4
Isoflurane,CHRNB2
Ethotoin,SCN5A
Tretinoin,RXRB
Tretinoin,RXRG
Tretinoin,RARA
Tretinoin,RARB
Tretinoin,RXRA
Hexachlorophene,ESR1
Tetracycline,PRNP
Potassium Chloride,SLC12A2
Mometasone,PGR
Metyrosine,TH
Benzquinamide,HRH1
Benzquinamide,CHRM1
Benzquinamide,CHRM3
Olopatadine,HRH1
Alprostadil,PTGER2
Alprostadil,PTGER1
Clidinium,CHRM1
Hydroflumethiazide,ATP1A1
Hydroflumethiazide,KCNMA1
Tirofiban,ITGB3
Oxcarbazepine,SCN5A
Propiomazine,HRH1
Propiomazine,HTR2A
Propiomazine,DRD2
Propiomazine,DRD1
Propiomazine,DRD4
Propiomazine,ADRA1A
Propiomazine,ADRA1B
Propiomazine,ADRA1D
Propiomazine,CHRM3
Propiomazine,CHRM1
Propantheline,CHRM1
Estradiol,ESR1
Estradiol,ESR2
Estradiol,CHRNA4
Estradiol,NCOA2
Estradiol,GPER1
Estradiol,BECN1
Mefenamic acid,PTGS2
Mefenamic acid,PTGS1
Cryptenamine,CHRM1
Cryptenamine,CHRM3
Marimastat,MMP2
Marimastat,MMP15
Marimastat,MMP16
Marimastat,MMP17
Marimastat,MMP24
Marimastat,MMP25
Naproxen,PTGS1
Naproxen,PTGS2
Perindopril,SFRP4
Tripelennamine,HRH1
Primidone,GABRA1
Primidone,GABRA2
Primidone,GABRA4
Primidone,GABRA5
Primidone,CHRNA4
Primidone,CHRNA7
Primidone,GRIA2
Primidone,GABRA1
Primidone,GABRA2
Primidone,GABRA4
Primidone,GABRA5
Primidone,GABRB1
Primidone,GABRB2
Primidone,GABRB3
Primidone,GABRD
Primidone,GABRG3
Primidone,GABRP
Sulfasalazine,PTGS2
Sulfasalazine,PTGS1
Sulfasalazine,PPARG
Sulfasalazine,CHUK
Sulfasalazine,IKBKB
Candesartan cilexetil,AGTR1
Tolazoline,ADRA1A
Tolazoline,ADRA2A
Tolazoline,HRH1
Tolazoline,HRH2
Tolazoline,ADRA2C
Tolazoline,ADRA2B
Gentamicin,LRP2
Tazarotene,RARA
Tazarotene,RXRB
Tazarotene,RARB
Fenoldopam,DRD5
Fenoldopam,DRD1
Fenoldopam,ADRA2B
Fenoldopam,ADRA2C
Fenoldopam,ADRA2A
Fenoldopam,ADRA1B
Fenoldopam,ADRA1D
Fenoldopam,ADRA1A
Halazepam,GABRA1
Halazepam,GABRA2
Halazepam,GABRA5
Halazepam,GABRG3
Halazepam,GABRB1
Halazepam,GABRB2
Halazepam,GABRB3
Halazepam,GABRD
Halazepam,GABRP
Halazepam,GABRA1
Halazepam,GABRA2
Halazepam,GABRA4
Halazepam,GABRA5
Halazepam,GABRB1
Halazepam,GABRB2
Halazepam,GABRB3
Halazepam,GABRD
Halazepam,GABRG3
Halazepam,GABRP
Dicyclomine,CHRM1
Minaprine,HTR2A
Minaprine,DRD1
Minaprine,DRD2
Minaprine,CHRM1
Pentoxifylline,PDE4B
Pentoxifylline,PDE4A
Pentoxifylline,ADORA2A
Tropicamide,CHRM1
Tropicamide,CHRM3
Biperiden,CHRM1
Phenylbutazone,PTGS2
Phenylbutazone,PTGS1
Fentanyl,OPRD1
Fentanyl,OPRK1
Meloxicam,PTGS2
Meloxicam,PTGS1
Orciprenaline,ADRB2
Propofol,GABRB2
Propofol,GABRB3
Propofol,GABRA1
Propofol,GABRA2
Propofol,GABRA4
Propofol,GABRA5
Propofol,GABRB1
Propofol,GABRB2
Propofol,GABRB3
Propofol,GABRD
Propofol,GABRG3
Propofol,GABRP
Acetazolamide,AQP1
Carprofen,PTGS2
Carprofen,PTGS1
Ethynodiol diacetate,PGR
Ethynodiol diacetate,ESR1
Enprofylline,PDE4A
Enprofylline,PDE4B
Enprofylline,ADORA2B
Enprofylline,ADORA2A
Menthol,OPRK1
Menthol,CACNA1C
Menthol,CACNA1D
Menthol,CACNB1
Menthol,CACNB2
Menthol,CACNB3
Menthol,CACNB4
Diazepam,GABRA1
Diazepam,GABRA2
Diazepam,GABRA5
Diazepam,GABRB1
Diazepam,GABRB2
Diazepam,GABRB3
Diazepam,GABRG3
Diazepam,GABRD
Diazepam,GABRP
Diazepam,TSPO
Diazepam,GABRA1
Diazepam,GABRA2
Diazepam,GABRA4
Diazepam,GABRA5
Diazepam,GABRB1
Diazepam,GABRB2
Diazepam,GABRB3
Diazepam,GABRD
Diazepam,GABRG3
Diazepam,GABRP
Phenmetrazine,SLC6A3
Trifluoperazine,DRD2
Trifluoperazine,CALY
Trifluoperazine,ADRA1A
Trifluoperazine,CALM1
Trifluoperazine,CALM2
Trifluoperazine,CALM3
Trifluoperazine,TNNC1
Mifepristone,PGR
Brompheniramine,HRH1
Brompheniramine,CHRM1
Brompheniramine,CHRM3
Loperamide,OPRD1
Loperamide,OPRK1
Loperamide,CACNA1A
Loperamide,POMC
Loperamide,CALM1
Loperamide,CALM2
Loperamide,CALM3
Progabide,GABBR1
Progabide,GABRA1
Tolazamide,ABCC8
Tolazamide,KCNJ11
Dobutamine,ADRB1
Dobutamine,ADRB2
Dobutamine,ADRA1A
Dobutamine,ADRA1B
Dobutamine,ADRA1D
Dobutamine,ESR1
Oxazepam,GABRA1
Oxazepam,GABRA2
Oxazepam,GABRA4
Oxazepam,GABRA5
Oxazepam,GABRB1
Oxazepam,GABRB2
Oxazepam,GABRB3
Oxazepam,GABRG3
Oxazepam,GABRD
Oxazepam,GABRP
Oxazepam,GABRA1
Oxazepam,GABRA2
Oxazepam,GABRA4
Oxazepam,GABRA5
Oxazepam,GABRB1
Oxazepam,GABRB2
Oxazepam,GABRB3
Oxazepam,GABRD
Oxazepam,GABRG3
Oxazepam,GABRP
Donepezil,HTR2A
Nalbuphine,OPRK1
Nalbuphine,OPRD1
Cysteamine,NPY2R
Levamisole,CHRNA3
Methylphenobarbital,GABRA1
Methylphenobarbital,GABRA2
Methylphenobarbital,GABRA4
Methylphenobarbital,GABRA5
Methylphenobarbital,CHRNA4
Methylphenobarbital,CHRNA7
Methylphenobarbital,GRIA2
Perphenazine,DRD2
Perphenazine,DRD1
Perphenazine,CALM1
Perphenazine,CALM2
Perphenazine,CALM3
Pseudoephedrine,SLC6A3
Pseudoephedrine,ADRA1A
Pseudoephedrine,ADRA2A
Pseudoephedrine,ADRB2
Pseudoephedrine,ADRB1
Pseudoephedrine,NFATC1
Pseudoephedrine,TNF
Pseudoephedrine,ATF1
Pseudoephedrine,ATF2
Pseudoephedrine,ATF4
Pseudoephedrine,ATF6
Pseudoephedrine,FOS
Pseudoephedrine,JUN
Levorphanol,OPRD1
Levorphanol,OPRK1
Diflunisal,PTGS2
Diflunisal,PTGS1
Vardenafil,PDE6G
Ranitidine,HRH2
Benzphetamine,ADRA2A
Benzphetamine,ADRA1A
Benzphetamine,SLC6A3
Alprenolol,ADRB1
Alprenolol,ADRB2
Alprenolol,HTR1A
Ritodrine,ADRB2
Benzonatate,SCN5A
Suprofen,PTGS1
Suprofen,PTGS2
Terbutaline,ADRB2
Terbutaline,ADRB1
Flupentixol,DRD2
Flupentixol,HTR2A
Flupentixol,DRD1
Flupentixol,ADRA1A
Flupentixol,CHRM1
Eprosartan,AGTR1
Sirolimus,MTOR
Sirolimus,FGF2
Clomifene,ESR1
Isosorbide Dinitrate,NPR1
Risedronate,FDPS
Bumetanide,SLC12A2
Bumetanide,CFTR
Dienestrol,ESR1
Iron Dextran,FTH1
Iron Dextran,FTL
Triazolam,GABRA1
Triazolam,GABRA2
Triazolam,GABRA4
Triazolam,GABRA5
Triazolam,GABRB1
Triazolam,GABRB2
Triazolam,GABRB3
Triazolam,GABRG3
Triazolam,GABRD
Triazolam,GABRP
Triazolam,TSPO
Triazolam,GABRA1
Triazolam,GABRA2
Triazolam,GABRA4
Triazolam,GABRA5
Triazolam,GABRB1
Triazolam,GABRB2
Triazolam,GABRB3
Triazolam,GABRD
Triazolam,GABRG3
Triazolam,GABRP
Ethanol,GABRA1
Ethanol,GRIN3A
Ethanol,CACNB1
Ethanol,GABRA2
Ethanol,CACNA1C
Ethanol,GABRA5
